title,link
Monsters University,https://www.the-numbers.com/movie/Monsters-University#tab=summary
Shrek,https://www.the-numbers.com/movie/Shrek#tab=summary
Despicable Me 3,https://www.the-numbers.com/movie/Despicable-Me-3#tab=summary
Harry Potter and the Chamber of Secrets,https://www.the-numbers.com/movie/Harry-Potter-and-the-Chamber-of-Secrets#tab=summary
The Amazing Spider-Man,https://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary
The Incredibles,https://www.the-numbers.com/movie/Incredibles-The#tab=summary
How the Grinch Stole Christmas,https://www.the-numbers.com/movie/How-the-Grinch-Stole-Christmas-(2000)#tab=summary
Jaws,https://www.the-numbers.com/movie/Jaws#tab=summary
Captain America: The Winter Soldier,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
The Hobbit: The Desolation of Smaug,https://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary
The Lego Movie,https://www.the-numbers.com/movie/LEGO-Movie-The#tab=summary
Star Trek,https://www.the-numbers.com/movie/Star-Trek#tab=summary
I am Legend,https://www.the-numbers.com/movie/I-am-Legend#tab=summary
The Blind Side,https://www.the-numbers.com/movie/Blind-Side-The#tab=summary
The Hobbit: The Battle of the Five Armies,https://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary
The Hangover Part II,https://www.the-numbers.com/movie/Hangover-Part-II-The#tab=summary
Despicable Me,https://www.the-numbers.com/movie/Despicable-Me#tab=summary
Batman,https://www.the-numbers.com/movie/Batman#tab=summary
Night at the Museum,https://www.the-numbers.com/movie/Night-at-the-Museum#tab=summary
Men in Black,https://www.the-numbers.com/movie/Men-in-Black#tab=summary
Harry Potter and the Prisoner of Azkaban,https://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary
Moana,https://www.the-numbers.com/movie/Moana-(2016)#tab=summary
Toy Story 2,https://www.the-numbers.com/movie/Toy-Story-2#tab=summary
Transformers: Age of Extinction,https://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary
Cars,https://www.the-numbers.com/movie/Cars#tab=summary
Bruce Almighty,https://www.the-numbers.com/movie/Bruce-Almighty#tab=summary
Ghostbusters,https://www.the-numbers.com/movie/Ghostbusters-(1984)#tab=summary
Twister,https://www.the-numbers.com/movie/Twister#tab=summary
My Big Fat Greek Wedding,https://www.the-numbers.com/movie/My-Big-Fat-Greek-Wedding#tab=summary
Maleficent,https://www.the-numbers.com/movie/Maleficent#tab=summary
Pirates of the Caribbean: On Stranger Tides,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
Shrek Forever After,https://www.the-numbers.com/movie/Shrek-Forever-After#tab=summary
Fast and Furious 6,https://www.the-numbers.com/movie/Fast-and-Furious-6#tab=summary
Brave,https://www.the-numbers.com/movie/Brave#tab=summary
Oz the Great and Powerful,https://www.the-numbers.com/movie/Oz-The-Great-and-Powerful#tab=summary
Beverly Hills Cop,https://www.the-numbers.com/movie/Beverly-Hills-Cop#tab=summary
X-Men: The Last Stand,https://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary
War of the Worlds,https://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary
Fantastic Beasts and Where to Find Them,https://www.the-numbers.com/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary
X-Men: Days of Future Past,https://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary
Cast Away,https://www.the-numbers.com/movie/Cast-Away#tab=summary
Doctor Strange,https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary
The Exorcist,https://www.the-numbers.com/movie/Exorcist-The#tab=summary
The Lost World: Jurassic Park,https://www.the-numbers.com/movie/Lost-World-Jurassic-Park#tab=summary
Justice League,https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
Star Trek Into Darkness,https://www.the-numbers.com/movie/Star-Trek-Into-Darkness#tab=summary
The Martian,https://www.the-numbers.com/movie/Martian-The#tab=summary
Signs,https://www.the-numbers.com/movie/Signs#tab=summary
Hancock,https://www.the-numbers.com/movie/Hancock#tab=summary
The Bourne Ultimatum,https://www.the-numbers.com/movie/Bourne-Ultimatum-The#tab=summary
Logan,https://www.the-numbers.com/movie/Logan-(2017)#tab=summary
Rush Hour 2,https://www.the-numbers.com/movie/Rush-Hour-2#tab=summary
The Fate of the Furious,https://www.the-numbers.com/movie/Fate-of-the-Furious-The#tab=summary
Raiders of the Lost Ark,https://www.the-numbers.com/movie/Raiders-of-the-Lost-Ark#tab=summary
WALL-E,https://www.the-numbers.com/movie/WALL-E#tab=summary
Big Hero 6,https://www.the-numbers.com/movie/Big-Hero-6#tab=summary
Mission: ImpossibleâFallout,https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary
National Treasure: Book of Secrets,https://www.the-numbers.com/movie/National-Treasure-Book-of-Secrets#tab=summary
Alvin and the Chipmunks: The Squeakquel,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks-The-Squeakquel#tab=summary
Mrs. Doubtfire,https://www.the-numbers.com/movie/Mrs-Doubtfire#tab=summary
Ted,https://www.the-numbers.com/movie/Ted#tab=summary
King Kong,https://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary
Ghost,https://www.the-numbers.com/movie/Ghost#tab=summary
How to Train Your Dragon,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary
The Da Vinci Code,https://www.the-numbers.com/movie/Da-Vinci-Code-The#tab=summary
Aladdin,https://www.the-numbers.com/movie/Aladdin-(1992)#tab=summary
Alvin and the Chipmunks,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks#tab=summary
Ant-Man and the Wasp,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary
Madagascar 3: Europe's Most Wanted,https://www.the-numbers.com/movie/Madagascar-3#tab=summary
Saving Private Ryan,https://www.the-numbers.com/movie/Saving-Private-Ryan#tab=summary
Bohemian Rhapsody,https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=summary
Kung Fu Panda,https://www.the-numbers.com/movie/Kung-Fu-Panda#tab=summary
Mission: Impossible 2,https://www.the-numbers.com/movie/Mission-Impossible-2#tab=summary
