Name,Distributors,Mpaa rating,Genre,Opening weekend,Domestic box office,International box office,Worldwide box office,Synopsis,Link
Wonder Woman (2017),Warner Bros./Atlas Entertainment/Cruel and Unusual Films/RatPac Entertainment/Dune Entertainment/Tencent Pictures /Wanda Pictures,PG-13,Action,"$103,251,471","$412,563,408","$408,569,970","$821,133,378","Before she was Wonder Woman, she was Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when an American pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers... and her true destiny.",https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
Iron Man 3 (2013),Marvel Studios/Paramount Pictures/DMG Entertainment,PG-13,Action,"$174,144,585","$408,992,272","$806,400,000","$1,215,392,272","Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man? ",https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
Captain America: Civil War (2016),Marvel Studios,PG-13,Action,"$179,139,142","$408,084,349","$745,200,000","$1,153,284,349","Steve Rogers is leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps--one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.",https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
The Hunger Games (2012),Lionsgate/Color Force,PG-13,Thriller/Suspense,"$152,535,747","$408,010,692","$269,912,687","$677,923,379","Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which ""Tributes"" must fight with one another until one survivor remains. Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she's ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love.",https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary
Jumanji: Welcome to the Jungle (2017),Columbia Pictures/Matt Tolmach Productions/Seven Bucks Productions,PG-13,Adventure,"$36,169,328","$404,508,916","$559,987,277","$964,496,193","Four teenagers in detention are sucked into the world of Jumanji. When they discover an old video game console with a game they've never heard of, they are immediately thrust into the game's jungle setting, into the bodies of their avatars. What they discover is that you don't just play Jumanji--Jumanji plays you. They'll have to go on the most dangerous adventure of their lives, or they'll be stuck in the game forever...",https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary
Spider-Man (2002),Columbia Pictures/Marvel Studios/Laura Ziskin Productions,PG-13,Adventure,"$114,844,116","$403,706,375","$418,000,000","$821,706,375",,https://www.the-numbers.com/movie/Spider-Man#tab=summary
Jurassic Park (1993),Universal Pictures/Amblin Entertainment,PG-13,Action,"$50,159,460","$402,523,348","$643,104,279","$1,045,627,627",,https://www.the-numbers.com/movie/Jurassic-Park#tab=summary
Transformers: Revenge of the Fallen (2009),DreamWorks Pictures/Paramount Pictures/Hasbro Studios/di Bonaventura Pictures/Tom DeSanto/Don Murphy,PG-13,Action,"$108,966,307","$402,111,870","$434,407,829","$836,519,699",,https://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary
Frozen (2013),Walt Disney Animation Studios,PG,Musical,"$243,390","$400,738,009","$868,008,165","$1,268,746,174","Fearless optimist Anna sets off on an epic journey--teaming up with rugged mountain man Kristoff and his loyal reindeer Sven--to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. ",https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary
Spider-Man: Far From Home (2019),Columbia Pictures/Marvel Studios/Pascal Pictures,PG-13,Action,"$92,579,212","$390,532,085","$738,459,543","$1,128,991,628","Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
Guardians of the Galaxy Vol 2 (2017),Marvel Studios,PG-13,Action,"$146,510,104","$389,813,101","$479,300,000","$869,113,101",The team's adventures continue as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage. ,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
Harry Potter and the Deathly Hallows: Part II (2011),Warner Bros./Heyday Films,PG-13,Adventure,"$169,189,427","$381,193,157","$960,500,000","$1,341,693,157",The battle between the good and evil forces of the wizarding world escalates into an all-out war. The stakes have never been higher and no one is safe. But it is Harry Potter who may be called upon to make the ultimate sacrifice as he draws closer to the climactic showdown with Lord Voldemort. It all ends here.,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary
Finding Nemo (2003),Disney-Pixar/Walt Disney Pictures,G,Adventure,"$70,251,710","$380,529,370","$555,900,000","$936,429,370","The momentous journey of an overprotective clownfish named Marlin and his young son Nemo--who become separated when Nemo is unexpectedly taken far from his ocean home in the Great Barrier Reef to a fish tank in a dentist's office. Buoyed by the companionshipof Dory, a friendly-but-forgetful blue tang, Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his son--who hatches a few daring plans of his own to return safely home.",https://www.the-numbers.com/movie/Finding-Nemo#tab=summary
Star Wars Ep. III: Revenge of the Sith (2005),United States,G,Animation/Live Action,"$108,435,841","$380,270,577","$468,728,300","$848,998,877","Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice -- Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring -- the twin children born in secrecy who will grow up to become heroes. ",https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary
The Lord of the Rings: The Return of the King (2003),Wingnut Films,PG-13,Adventure,"$72,629,713","$377,845,905","$742,578,709","$1,120,424,614",,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary
Spider-Man 2 (2004),Columbia Pictures/Marvel Studios/Laura Ziskin Productions,PG-13,Adventure,"$88,156,227","$373,524,485","$421,586,185","$795,110,670",,https://www.the-numbers.com/movie/Spider-Man-2#tab=summary
